DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:10.573,-00262.70, 00221.68, 00968.75,-00045.47,-00014.70,-00013.87, 00002.40, 00015.90, 00019.95, 00031.72
1970-1-1 0:0:10.618,-00023.93, 00238.77, 00906.25,-00049.11,-00014.18,-00005.98, 00001.50, 00014.85, 00019.05, 00032.10
1970-1-1 0:0:10.663,-00146.48, 00149.41, 00920.90,-00034.98,-00005.85, 00001.83, 00001.50, 00010.35, 00018.60, 00031.72
1970-1-1 0:0:10.708,-00132.81, 00144.53, 00845.21,-00013.06, 00008.08,-00007.70, 00001.35, 00010.95, 00019.65, 00032.01
1970-1-1 0:0:10.753,-00068.36, 00092.77, 01004.88,-00029.69, 00047.26, 00009.95, 00000.00, 00008.40, 00019.35, 00031.86
1970-1-1 0:0:10.798,-00257.81, 00081.05, 01109.38,-00000.71, 00035.44,-00001.26, 00001.65, 00009.45, 00017.70, 00031.72
1970-1-1 0:0:10.843,-00184.08, 00206.05, 00995.12,-00015.67, 00034.89,-00014.68, 00003.60, 00009.75, 00019.20, 00031.67
1970-1-1 0:0:10.888,-00229.00, 00230.96, 01219.24,-00020.09, 00055.73,-00016.92, 00004.95, 00008.40, 00017.85, 00031.86
1970-1-1 0:0:10.933,-00236.82, 00135.25, 00936.52, 00034.54, 00040.11,-00017.63, 00007.05, 00009.45, 00016.95, 00031.86
1970-1-1 0:0:10.978,-00392.09, 00126.46, 00981.45,-00142.98, 00073.39, 00010.23, 00008.85, 00008.40, 00018.60, 00031.91
1970-1-1 0:0:11.023,-00332.52,-00068.85, 01057.13, 00029.81, 00037.14,-00005.47, 00011.40, 00007.35, 00016.50, 00032.01
1970-1-1 0:0:11.068,-00417.97, 00039.06, 01021.48, 00066.02, 00006.73,-00035.01, 00011.85, 00007.05, 00016.50, 00031.72
1970-1-1 0:0:11.113,-00435.06, 00062.50, 00783.20,-00071.88, 00001.47,-00040.21, 00011.25, 00008.40, 00016.80, 00031.86
1970-1-1 0:0:11.158,-00399.90,-00006.84, 00929.20,-00063.01,-00012.95,-00037.15, 00011.85, 00003.30, 00015.45, 00031.58
1970-1-1 0:0:11.203,-00338.38,-00115.72, 00957.03,-00070.10,-00026.29,-00028.93, 00010.05, 00001.50, 00016.80, 00031.91
